,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_building_name0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_building_name1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_building_name2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
13532scan,13532scan,2023.02.13,,,"['vor 1912', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",70013033,,Bild,Die heilige Familie,,,,"Salimbeni, Ventura",Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284238,284238,1973.01.25,,Mal. Ren.,,,07700713,,Zyklus,Freskenzyklus,,,,Sebastiano del Piombo,,,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,001",Wandbild,Heiliger Matthäus und Prophet Jesaja,,,,,,,,,,,,,,,,,,,,,,
284237,284237,1973.01.25,,Mal. Ren.,,,07700713,,Zyklus,Freskenzyklus,,,,Sebastiano del Piombo,,,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,002",Wandbild,Verklärung Christi,,,,,,,,,,,,,,,,,,,,,,
28751,28751,1925.12.16,"Bodmer, Heinrich",Mal. Ren.,,,07700713,,Zyklus,Freskenzyklus,,,,Sebastiano del Piombo,,,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,003",Wandbild,Heiliger Petrus,,,,,,,,,,,,,,,,,,,,,,
28750,28750,1925.12.16,"Bodmer, Heinrich",Mal. Ren.,,,07700713,,Zyklus,Freskenzyklus,,,,Sebastiano del Piombo,,,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,004",Wandbild,Heiliger Franz von Assisi,,,,,,,,,,,,,,,,,,,,,,
13493,13493,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07700713,,Zyklus,Freskenzyklus,,,,Sebastiano del Piombo,,,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,005",Wandbild,Geißelung Christi,,,,,,,,,,,,,,,,,,,,,,
13493scan,13493scan,2022.11.23,,,"['1899', '2022.10.04']","['Anderson', 'Digitallabor KHI nach historischer Vorlage']",07700713,,Zyklus,Freskenzyklus,,,,Sebastiano del Piombo,,,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,005",Wandbild,Geißelung Christi,,,,,,,,,,,,,,,,,,,,,,
257024,257024,1970.02.19,,Mal. Ren.,,,07700713,,Zyklus,Freskenzyklus,,,,Sebastiano del Piombo,,,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,005",Wandbild,Geißelung Christi,,,,,,,,,,,,,,,,,,,,,,
13434,13434,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Fiorentini,70013045,,Bild,Mann mit Tierpranke,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1524/1525,,,,,,,,,,,,,,,,,,,,,,,,,,
13434scan,13434scan,2023.02.15,,,"['vor 1912', '2022.10.04']","['Fiorentini', 'Digitallabor KHI nach historischer Vorlage']",70013045,,Bild,Mann mit Tierpranke,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1524/1525,,,,,,,,,,,,,,,,,,,,,,,,,,
148273,148273,1956.11.07,,Mal. Ren.,vor 1956,Fiorentini,70013045,,Bild,Mann mit Tierpranke,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1524/1525,,,,,,,,,,,,,,,,,,,,,,,,,,
