,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_building_name0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_building_name1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_building_name2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
413007,413007,1983.11.11,,Mal. Roman.,1986,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,003",Wanddekoration,"Westwand mit Darstellungen einer Schlacht zwischen Tempelrittern und Muslimen, eines Pilgerschiff, Mönchen im Kloster und Apostel",,,,,,,,,
594892,594892,2010.03.23,,Mal. Roman.,,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,003",Wanddekoration,"Westwand mit Darstellungen einer Schlacht zwischen Tempelrittern und Muslimen, eines Pilgerschiff, Mönchen im Kloster und Apostel",,,,,,,,,
594245,594245,2010.02.08,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,003",Wanddekoration,"Westwand mit Darstellungen einer Schlacht zwischen Tempelrittern und Muslimen, eines Pilgerschiff, Mönchen im Kloster und Apostel",,,,,,,,,
594246,594246,2010.02.08,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,003",Wanddekoration,"Westwand mit Darstellungen einer Schlacht zwischen Tempelrittern und Muslimen, eines Pilgerschiff, Mönchen im Kloster und Apostel",,,,,,,,,
451254,451254,1988.03.01,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
451253,451253,1988.03.01,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
412991,412991,2010.03.23,,Mal. Got.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
13474,13474,1912,"Buerkel, Ludwig von",Mal. Roman.,vor 1911,Alinari,07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
13474scan,13474scan,2023.03.10,,,"['vor 1911', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
594893,594893,2010.03.23,,Mal. Roman.,,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
451252,451252,1988.03.01,,Mal. Roman.,1986,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
594252,594252,2010.02.08,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
13476,13476,1912,"Buerkel, Ludwig von",Mal. Roman.,vor 1911,Alinari,07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
13476scan,13476scan,2023.03.10,,,"['vor 1911', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
594247,594247,2010.03.23,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,
413009,413009,1983.11.11,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,005",Wanddekoration,Dekoration der Chorabschlusswand,,,,,,,,,
451255,451255,1988.03.01,,Mal. Roman.,1986,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,005",Wanddekoration,Dekoration der Chorabschlusswand,,,,,,,,,
451259,451259,1988.03.01,,Mal. Roman.,1986,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,006",Wandbild,Nordwand des Chores mit Darstellungen von Heiligen und des letzten Abendmahles,,,,,,,,,
451258,451258,1988.03.01,,Mal. Roman.,1986,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,006",Wandbild,Nordwand des Chores mit Darstellungen von Heiligen und des letzten Abendmahles,,,,,,,,,
451256,451256,1988.03.01,,Mal. Roman.,1986,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,006",Wandbild,Nordwand des Chores mit Darstellungen von Heiligen und des letzten Abendmahles,,,,,,,,,
413008,413008,1983.11.11,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,006",Wandbild,Nordwand des Chores mit Darstellungen von Heiligen und des letzten Abendmahles,,,,,,,,,
451257,451257,1988.03.01,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,006",Wandbild,Nordwand des Chores mit Darstellungen von Heiligen und des letzten Abendmahles,,,,,,,,,
13472,13472,1912,"Buerkel, Ludwig von",Mal. Roman.,vor 1911,Alinari,07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,006",Wandbild,Nordwand des Chores mit Darstellungen von Heiligen und des letzten Abendmahles,,,,,,,,,
13472scan,13472scan,2023.03.10,,,"['vor 1912', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,006",Wandbild,Nordwand des Chores mit Darstellungen von Heiligen und des letzten Abendmahles,,,,,,,,,
413016,413016,1983.11.11,,Mal. Roman.,1982,"Fiorucci, Carlo",07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,,Fragment,Meister der San Bevignate,,,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,,"07650449,T,007",Wanddekoration,Südwand des Chores mit Darstellung des Jüngsten Gerichts und Auferstehung der Toten,,,,,,,,,
13673,13673,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013153,,Bild,Der heilige Sebastian,,,,"Reni, Guido",Wien,Sammlung Graf von Czernin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13673scan,13673scan,2023.03.20,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013153,,Bild,Der heilige Sebastian,,,,"Reni, Guido",Wien,Sammlung Graf von Czernin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13154,13154,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,"Stieglitz, Alfred",70013141,,Bild,Madonna mit Kind,,,,Franciabigio,Rom,Galleria Corsini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13154scan,13154scan,2023.03.12,,,"['vor 1912', '2022.10.04']","['Stieglitz, Alfred', 'Digitallabor KHI nach historischer Vorlage']",70013141,,Bild,Madonna mit Kind,,,,Franciabigio,Rom,Galleria Corsini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13489,13489,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1901,Anderson,70013006,,Bild,Geburt Christi,,,,Parmigianino,Rom,Galleria Doria Pamphilj,,,1520/1530,,,,,,,,,,,,,,,,,,,,,,,,,,
13489scan,13489scan,2023.02.03,,,"['vor 1901', '2022.10.04']","['Anderson', 'Digitallabor KHI nach historischer Vorlage']",70013006,,Bild,Geburt Christi,,,,Parmigianino,Rom,Galleria Doria Pamphilj,,,1520/1530,,,,,,,,,,,,,,,,,,,,,,,,,,
13297,13297,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013115,,Bild,Anbetung der Hirten,,,,"Signorelli, Luca",London,National Gallery,,,um 1496,,,,,,,,,,,,,,,,,,,,,,,,,,
13297scan,13297scan,2023.03.02,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013115,,Bild,Anbetung der Hirten,,,,"Signorelli, Luca",London,National Gallery,,,um 1496,,,,,,,,,,,,,,,,,,,,,,,,,,
13664,13664,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Brogi,70013018,,Bild,Die heilige Franziska von Rom,,,,Guercino,,,Genua,Santa Maria Assunta in Carignano,1656,,,,,,,,,,,,,,,,,,,,,,,,,,
13664scan,13664scan,2023.02.09,,,"['vor 1899', '2022.10.04']","['Brogi', 'Digitallabor KHI nach historischer Vorlage']",70013018,,Bild,Die heilige Franziska von Rom,,,,Guercino,,,Genua,Santa Maria Assunta in Carignano,1656,,,,,,,,,,,,,,,,,,,,,,,,,,
13727,13727,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Brogi,70013103,,Bild,Petrus heilt einen Lahmen,,,,"Piola, Domenico (1627)",Genova,Chiesa di Nostra Signora Assunta di Carignano,,,1694/1696,,,,,,,,,,,,,,,,,,,,,,,,,,
13727scan,13727scan,2023.03.01,,,"['vor 1899', '2022.10.04']","['Brogi', 'Digitallabor KHI nach historischer Vorlage']",70013103,,Bild,Petrus heilt einen Lahmen,,,,"Piola, Domenico (1627)",Genova,Chiesa di Nostra Signora Assunta di Carignano,,,1694/1696,,,,,,,,,,,,,,,,,,,,,,,,,,
13616,13616,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1897,Bruckmann,70013212,,Bild,Die heilige Maria Magdalena,,,,"Dolci, Carlo",München,Alte Pinakothek München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13616scan,13616scan,2023.04.14,,,"['vor 1897', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70013212,,Bild,Die heilige Maria Magdalena,,,,"Dolci, Carlo",München,Alte Pinakothek München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13686,13686,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013200,,Bild,Der heilige Hieronymus in der Wüste,,,,Guercino,Wien,Fürstliche Sammlungen Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13686scan,13686scan,2023.04.13,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013200,,Bild,Der heilige Hieronymus in der Wüste,,,,Guercino,Wien,Fürstliche Sammlungen Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13706,13706,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,07503267,,Altarbild,Maria Magdalena und Engel,,,,Guercino,Vatikan,"Monumenti, Musei e Gallerie Pontificie",Rom,Santa Maria Maddalena delle Convertite,1622,,,,,,,,,,,,,,,,,,,,,,,,,,
13706scan,13706scan,2022.11.23,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07503267,,Altarbild,Maria Magdalena und Engel,,,,Guercino,Vatikan,"Monumenti, Musei e Gallerie Pontificie",Rom,Santa Maria Maddalena delle Convertite,1622,,,,,,,,,,,,,,,,,,,,,,,,,,
429357,429357,1985.11.05,"Baumgart, Fritz",Mal. Bar.,,,07503267,,Altarbild,Maria Magdalena und Engel,,,,Guercino,Vatikan,"Monumenti, Musei e Gallerie Pontificie",Rom,Santa Maria Maddalena delle Convertite,1622,,,,,,,,,,,,,,,,,,,,,,,,,,
13656,13656,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012999,,Bild,Diana,,,verschollen,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1645,,,,,,,,,,,,,,,,,,,,,,,,,,
13656scan,13656scan,2023.02.03,,,"['vor 1902', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70012999,,Bild,Diana,,,verschollen,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1645,,,,,,,,,,,,,,,,,,,,,,,,,,
13311,13311,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013139,,Bild,Felsgrottenmadonna,,,,Leonardo da Vinci,London,National Gallery,,,1491/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
13311scan,13311scan,2023.03.10,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013139,,Bild,Felsgrottenmadonna,,,,Leonardo da Vinci,London,National Gallery,,,1491/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
152923,152923,1957.08.26,,Mal. Ren.,,unbekannt,70013139,,Bild,Felsgrottenmadonna,,,,Leonardo da Vinci,London,National Gallery,,,1491/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
224326,224326,1967.07.03,,Mal. Ren.,,unbekannt,70013139,,Bild,Felsgrottenmadonna,,,,Leonardo da Vinci,London,National Gallery,,,1491/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
257822,257822,1970.03.17,"Holst, Christian von",Mal. Ren.,,unbekannt,70013139,,Bild,Felsgrottenmadonna,,,,Leonardo da Vinci,London,National Gallery,,,1491/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
119597,119597,1938.09.07,"Middeldorf, Ulrich",Mal. Ren.,,unbekannt,70013139,,Bild,Felsgrottenmadonna,,,,Leonardo da Vinci,London,National Gallery,,,1491/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
13363,13363,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Brogi,70013127,,Bild,Die heilige Familie mit dem Johannesknaben,,,,"Cambiaso, Luca",Genua,Museo e Galleria dell'Accademia Ligustica di Belle Arti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13363scan,13363scan,2023.03.06,,,"['vor 1899', '2022.10.04']","['Brogi', 'Digitallabor KHI nach historischer Vorlage']",70013127,,Bild,Die heilige Familie mit dem Johannesknaben,,,,"Cambiaso, Luca",Genua,Museo e Galleria dell'Accademia Ligustica di Belle Arti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439114,439114,1986.11.04,,Mal. Ren.,,unbekannt,70013127,,Bild,Die heilige Familie mit dem Johannesknaben,,,,"Cambiaso, Luca",Genua,Museo e Galleria dell'Accademia Ligustica di Belle Arti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13536,13536,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",07703459,,Bild,Abrahams Opfer,,,,Andrea del Sarto,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1527/1528,,,,,,,,,,,,,,,,,,,,,,,,,,
13536scan,13536scan,2023.01.19,,,"['vor 1894', '2022.10.04']","['Tamme, Rudolph', 'Digitallabor KHI nach historischer Vorlage']",07703459,,Bild,Abrahams Opfer,,,,Andrea del Sarto,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1527/1528,,,,,,,,,,,,,,,,,,,,,,,,,,
160932,160932,1959.03.12,,Mal. Ren.,,,07703459,,Bild,Abrahams Opfer,,,,Andrea del Sarto,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1527/1528,,,,,,,,,,,,,,,,,,,,,,,,,,
551382,551382,2000.05.30,"Heikamp, Detlef",Mal. Ren.,,,07703459,,Bild,Abrahams Opfer,,,,Andrea del Sarto,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1527/1528,,,,,,,,,,,,,,,,,,,,,,,,,,
13163,13163,1912,"Buerkel, Ludwig von",Mal. Ren.,1900,"Tamme, Rudolph",70004691,,Bild,Mariä Tempelgang,,,,"Cima da Conegliano, Giovanni Battista",Dresden,Staatliche Kunstsammlungen Dresden,,,um 1496/1497,,,,,,,,,,,,,,,,,,,,,,,,,,
13163scan,13163scan,2017.06.26,,,"['1900', '2016.12']","['Tamme, Rudolph', 'Digitallabor KHI nach historischer Vorlage']",70004691,,Bild,Mariä Tempelgang,,,,"Cima da Conegliano, Giovanni Battista",Dresden,Staatliche Kunstsammlungen Dresden,,,um 1496/1497,,,,,,,,,,,,,,,,,,,,,,,,,,
157341,157341,1958.06.26,,Mal. Ren.,,,70004691,,Bild,Mariä Tempelgang,,,,"Cima da Conegliano, Giovanni Battista",Dresden,Staatliche Kunstsammlungen Dresden,,,um 1496/1497,,,,,,,,,,,,,,,,,,,,,,,,,,
188380,188380,1963.08.12,,Mal. Ren.,,,70004691,,Bild,Mariä Tempelgang,,,,"Cima da Conegliano, Giovanni Battista",Dresden,Staatliche Kunstsammlungen Dresden,,,um 1496/1497,,,,,,,,,,,,,,,,,,,,,,,,,,
276542,276542,1972.02.15,,Mal. Ren.,,,70004691,,Bild,Mariä Tempelgang,,,,"Cima da Conegliano, Giovanni Battista",Dresden,Staatliche Kunstsammlungen Dresden,,,um 1496/1497,,,,,,,,,,,,,,,,,,,,,,,,,,
13262,13262,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Hanfstaengl,70013061,,Bild,Maria mit Kind,,,,"Ingegno, Andrea di Luigi",Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13262scan,13262scan,2023.02.16,,,"['vor 1899', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013061,,Bild,Maria mit Kind,,,,"Ingegno, Andrea di Luigi",Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13427,13427,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,07702859,,Bild,Bildnis eines jungen Mannes,,,,"Lotto, Lorenzo",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,1526,,,,,,,,,,,,,,,,,,,,,,,,,,
13427scan,13427scan,2022.11.21,,,"['vor 1897', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07702859,,Bild,Bildnis eines jungen Mannes,,,,"Lotto, Lorenzo",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,1526,,,,,,,,,,,,,,,,,,,,,,,,,,
429783,429783,1985.11.15,"Baumgart, Fritz",Mal. Ren.,,,07702859,,Bild,Bildnis eines jungen Mannes,,,,"Lotto, Lorenzo",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,1526,,,,,,,,,,,,,,,,,,,,,,,,,,
8404/2,8404/2,1909.04,"Ludwig, Gustav, 1905",Mal. Ren.,vor 1901,unbekannt,07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,,,,,,,,,,,,
8404/2scan,8404/2scan,2011.06.04,"Ludwig, Gustav, 1905 (Vorlage)",Mal. Ren.,"['vor 1901', '2011.05']","['unbekannt', 'Digitallabor KHI nach historischer Vorlage']",07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,,,,,,,,,,,,
8379,8379,1909.04,"Ludwig, Gustav, 1905",Mal. Ren.,,,07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,001,T",Zyklus,Gemälde von der Cassa del Consiglio dei Dieci,,,,Bonifazio Veronese,,,,,
8404/1,8404/1,1909.04,"Ludwig, Gustav, 1905",Mal. Ren.,vor 1901,unbekannt,07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,002,T",Zyklus?,Gemälde der zwei Räume der Governatori alle Entrate,,,,Bonifazio Veronese,,,,,
8404/1scan,8404/1scan,2011.06.04,"Ludwig, Gustav, 1905 (Vorlage)",Mal. Ren.,"['vor 1901', '2011.05']","['unbekannt', 'Digitallabor KHI nach historischer Vorlage']",07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,002,T",Zyklus?,Gemälde der zwei Räume der Governatori alle Entrate,,,,Bonifazio Veronese,,,,,
8440,8440,1909.04,"Ludwig, Gustav, 1905",Mal. Ren.,vor 1901,unbekannt,07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,002,T",Zyklus?,Gemälde der zwei Räume der Governatori alle Entrate,,,,Bonifazio Veronese,,,,,
8440scan,8440scan,2011.06.04,"Ludwig, Gustav, 1905 (Vorlage)",Mal. Ren.,"['vor 1901', '2011.05']","['unbekannt', 'Digitallabor KHI nach historischer Vorlage']",07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,002,T",Zyklus?,Gemälde der zwei Räume der Governatori alle Entrate,,,,Bonifazio Veronese,,,,,
8393,8393,1909.04,"Ludwig, Gustav, 1905",Mal. Ren.,vor 1901,unbekannt,07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,003,T",Zyklus?,Gemälde der Räume des Magistrato del Sale,,,,Bonifazio Veronese,,,,,
8393scan,8393scan,2011.06.04,"Ludwig, Gustav, 1905 (Vorlage)",Mal. Ren.,"['vor 1901', '2011.05']","['unbekannt', 'Digitallabor KHI nach historischer Vorlage']",07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,003,T",Zyklus?,Gemälde der Räume des Magistrato del Sale,,,,Bonifazio Veronese,,,,,
8392,8392,1909.04,"Ludwig, Gustav, 1905",Mal. Ren.,vor 1901,,07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,003,T",Zyklus?,Gemälde der Räume des Magistrato del Sale,,,,Bonifazio Veronese,,,,,
8392scan,8392scan,2011.06.04,"Ludwig, Gustav, 1905 (Vorlage)",Mal. Ren.,"['vor 1901', '2011.05']",Digitallabor KHI nach historischer Vorlage,07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,003,T",Zyklus?,Gemälde der Räume des Magistrato del Sale,,,,Bonifazio Veronese,,,,,
8397,8397,1909.04,"Ludwig, Gustav, 1905",Mal. Ren.,,,07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,"07702726,T,006,T",Zyklus,Gemälde des Monte Nuovissimo,,,,Bonifazio Veronese,,,,,
221814,221814,1967.04.14,,Mal. Ren.,,,07702726,,Zyklus,Gemälde aus dem Palazzo dei Camerlenghi,,,,Bonifazio Veronese,,,Venedig,Palazzo dei Camerlenghi,1529-1554,,,,,,,,,,,,,,,,Bild,"Die Heiligen Daniel, Johannes der Täufer und Nikolaus von Bari",,,,,,,Vittorio Veneto,Seminario,
