,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
30,13566,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",70013035,,Bild,"Bildnis der Tochter Tizians, Lavinia",,,Tizian,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1561,,,,,,,,,,,,,,,,,,,,,,,,
31,471092,1990,"Heinemann, Fritz",Mal. Ren.,,unbekannt,70013035,,Bild,"Bildnis der Tochter Tizians, Lavinia",,,Tizian,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1561,,,,,,,,,,,,,,,,,,,,,,,,
32,13435,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Fiorentini,70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,
33,148275,1956,No Data,Mal. Ren.,vor 1956,Fiorentini,70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,
34,148276,1956,No Data,Mal. Ren.,vor 1956,Fiorentini,70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,
35,148277,1956,No Data,Mal. Ren.,vor 1956,Fiorentini,70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,
36,13341,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,70013059,,Bild,Darbringung Christi im Tempel,,,Bartolommeo (Fra),Wien,Kunsthistorisches Museum Wien,Florenz,San Marco,1516,,,,,,,,,,,,,,,,,,,,,,,,
37,553984,2000,No Data,Mal. Ren.,2000.04.05,"Gloc, Jan",07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",San Gimignano,Sant'Agostino,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,
38,256101,1970,No Data,Mal. Ren.,,,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",San Gimignano,Sant'Agostino,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,
39,13284,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1908,Alinari,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",San Gimignano,Sant'Agostino,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,
40,41829,1927,No Data,Mal. Ren.,,,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",San Gimignano,Sant'Agostino,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,
