,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2,Artist_wd_nameprep
269,13699,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,07503029,,Gewölbedekoration,Allegorien der Tageszeiten,,,Guercino,Rom,Villa Ludovisi,Rom,Villa Ludovisi,1621,,"07503029,T,001",Deckenbild,Aurora und ihr Gefolge,,,Guercino,,,,,,,,,,,,,,,,,,Guercino
276,13704,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,07503029,,Gewölbedekoration,Allegorien der Tageszeiten,,,Guercino,Rom,Villa Ludovisi,Rom,Villa Ludovisi,1621,,"07503029,T,001",Deckenbild,Aurora und ihr Gefolge,,,Guercino,,,,,,,,,,,,,,,,,,Guercino
279,13698,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,07503029,,Gewölbedekoration,Allegorien der Tageszeiten,,,Guercino,Rom,Villa Ludovisi,Rom,Villa Ludovisi,1621,,"07503029,T,002",Bild,Allegorie des Tages,,,Guercino,,,,,,,,,,,,,,,,,,Guercino
282,13697,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,07503029,,Gewölbedekoration,Allegorien der Tageszeiten,,,Guercino,Rom,Villa Ludovisi,Rom,Villa Ludovisi,1621,,"07503029,T,003",Bild,Allegorie der Nacht,,,Guercino,,,,,,,,,,,,,,,,,,Guercino
284,13702,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,07503029,,Gewölbedekoration,Allegorien der Tageszeiten,,,Guercino,Rom,Villa Ludovisi,Rom,Villa Ludovisi,1621,,"07503029,T,003",Bild,Allegorie der Nacht,,,Guercino,,,,,,,,,,,,,,,,,,Guercino
285,13703,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,07503029,,Gewölbedekoration,Allegorien der Tageszeiten,,,Guercino,Rom,Villa Ludovisi,Rom,Villa Ludovisi,1621,,"07503029,T,003",Bild,Allegorie der Nacht,,,Guercino,,,,,,,,,,,,,,,,,,Guercino
286,13648,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Reali,70013198,,Bild,Das Urteil Salomos,,,"Giordano, Luca",,unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luca Giordano
287,13490,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,07700959,,Bild,Bogenschnitzender Amor,,,Parmigianino,Wien,Kunsthistorisches Museum,,,1531-1534,,,,,,,,,,,,,,,,,,,,,,,,,Parmigianino
288,13419,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,Hanfstaengl,70013041,,Altarbild,Der büßende heilige Hieronymus,,,Garofalo,Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,,,,,,,,,,,,,,,,,,,,,,,,,,Garofalo
289,13625,1912,"Buerkel, Ludwig von",Mal. Franz.,vor 1912,unbekannt,70013079,,Bild,Flusslandschaft mit Figuren,,,"Dughet, Gaspard",Rom,Galleria Colonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaspard Dughet
291,13607,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,unbekannt,70013108,,Bild,Selbstbildnis des Künstlers,,,"Carpioni, Giulio (der Ältere)",Mailand,Pinacoteca di Brera,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giulio Carpioni
292,13774,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,unbekannt,70013205,,Bild,Der Engel der Barmherzigkeit,,,"Highmore, Joseph (1692)",New Haven (Connecticut),Yale Center for British Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Highmore
294,13358,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,07601157,,Bild,Eleonora da Toledo mit ihrem Sohn Francesco,,,"Bronzino, Agnolo",Florenz,Galleria degli Uffizi,,,1545,,,,,,,,,,,,,,,,,,,,,,,,,Agnolo Bronzino
297,13561,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,07700924,,Bild,Christus und die Ehebrecherin,,unvollendet,Tizian,Wien,Kunsthistorisches Museum,,,um 1511,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
302,13416,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,70013042,,Bild,Die Tiburtinische Sybille und Augustus,,,Garofalo,Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,Garofalo
305,13481,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013054,,Bild,Bildnis einer Frau,,,"Cariani, Giovanni",Wien,Kunsthistorisches Museum Wien,,,um 1530/1535,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Cariani
307,13479,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013066,,Bild,Bildnis einer jungen Frau,,,"Palma, Jacopo (1480)",Wien,Kunsthistorisches Museum Wien,,,1512/1514,,,,,,,,,,,,,,,,,,,,,,,,,Jacopo Palma
308,13583,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Brogi,70013078,,Bild,Das goldene Zeitalter,,,"Zucchi, Jacopo",Florenz,Galleria degli Uffizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacopo Zucchi
309,13695,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013199,,Bild,Madonna mit Kind,,,Guercino,Chatsworth House,Devonshire Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
310,13749,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1894,Anderson,70013030,,Bild,Der Wald der Philosophen,,,"Rosa, Salvator",Firenze,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,Salvator Rosa
311,13423,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,07702841,,Bild,Heiliger Liberalis,,,Giorgione,London,National Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giorgione
