,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2,Artist_wd_nameprep
351,13694,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Alinari,70013020,,Bild,Die Rückkehr des verlorenen Sohnes,,,Guercino,Turin,Galleria Sabauda,,,1617?,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
352,13497,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,70013032,,Bild,Bildnis des Kardinals Rodolfo Pio,,,"Salviati, Francesco",Wien,Kunsthistorisches Museum Wien,,,1540/1550,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Salviati
354,13351,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013044,,Bild,Thronende Maria mit Kind und Heiligen,,,"Bordone, Paris",Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",Belluno,Santa Maria dei Battuti,um 1548,,,,,,,,,,,,,,,,,,,,,,,,,Paris Bordone
355,13315,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013056,,Bild,Bildnis von Gabrielle d'Eströes,,,Leonardo da Vinci,Althorp,,,,1576/1600,,,,,,,,,,,,,,,,,,,,,,,,,Leonardo da Vinci
373,13474,1912,"Buerkel, Ludwig von",Mal. Roman.,vor 1911,Alinari,07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,Fragment,Meister der San Bevignate,Perugia,San Bevignate,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,Meister der San Bevignate
377,13476,1912,"Buerkel, Ludwig von",Mal. Roman.,vor 1911,Alinari,07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,Fragment,Meister der San Bevignate,Perugia,San Bevignate,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,"07650449,T,004",Wanddekoration,"Nordwand mit Fries, Apostel- und Heiligendarstellungen",,,,,,,,,Meister der San Bevignate
386,13472,1912,"Buerkel, Ludwig von",Mal. Roman.,vor 1911,Alinari,07650449,,Innenausstattung,Innendekoration von San Bevignate in Perugia,,Fragment,Meister der San Bevignate,Perugia,San Bevignate,Perugia,San Bevignate,1201/1300,,,,,,,,,,,,,,"07650449,T,006",Wandbild,Nordwand des Chores mit Darstellungen von Heiligen und des letzten Abendmahles,,,,,,,,,Meister der San Bevignate
388,13673,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013153,,Bild,Der heilige Sebastian,,,"Reni, Guido",Wien,Sammlung Graf von Czernin,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guido Reni
389,13154,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,"Stieglitz, Alfred",70013141,,Bild,Madonna mit Kind,,,Franciabigio,Rom,Galleria Corsini,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franciabigio
390,13489,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1901,Anderson,70013006,,Bild,Geburt Christi,,,Parmigianino,Rom,Galleria Doria Pamphilj,,,1520/1530,,,,,,,,,,,,,,,,,,,,,,,,,Parmigianino
391,13297,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013115,,Bild,Anbetung der Hirten,,,"Signorelli, Luca",London,National Gallery,,,um 1496,,,,,,,,,,,,,,,,,,,,,,,,,Luca Signorelli
392,13664,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Brogi,70013018,,Bild,Die heilige Franziska von Rom,,,Guercino,Genua,Santa Maria Assunta in Carignano,Genua,Santa Maria Assunta in Carignano,1656,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
393,13727,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Brogi,70013103,,Bild,Petrus heilt einen Lahmen,,,"Piola, Domenico (1627)",Genova,Chiesa di Nostra Signora Assunta di Carignano,,,1694/1696,,,,,,,,,,,,,,,,,,,,,,,,,Domenico Piola
394,13616,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1897,Bruckmann,70013212,,Bild,Die heilige Maria Magdalena,,,"Dolci, Carlo",München,Alte Pinakothek München,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlo Dolci
395,13686,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013200,,Bild,Der heilige Hieronymus in der Wüste,,,Guercino,Wien,Fürstliche Sammlungen Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
396,13706,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,07503267,,Altarbild,Maria Magdalena und Engel,,,Guercino,Vatikan,"Monumenti, Musei e Gallerie Pontificie",Rom,Santa Maria Maddalena delle Convertite,1622,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
398,13656,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012999,,Bild,Diana,,verschollen,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1645,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
399,13311,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013139,,Bild,Felsgrottenmadonna,,,Leonardo da Vinci,London,National Gallery,,,1491/1508,,,,,,,,,,,,,,,,,,,,,,,,,Leonardo da Vinci
404,13363,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Brogi,70013127,,Bild,Die heilige Familie mit dem Johannesknaben,,,"Cambiaso, Luca",Genua,Museo e Galleria dell'Accademia Ligustica di Belle Arti,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luca Cambiaso
406,13536,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",07703459,,Bild,Abrahams Opfer,,,Andrea del Sarto,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1527/1528,,,,,,,,,,,,,,,,,,,,,,,,,Andrea del Sarto
409,13163,1912,"Buerkel, Ludwig von",Mal. Ren.,1900,"Tamme, Rudolph",70004691,,Bild,Mariä Tempelgang,,,"Cima da Conegliano, Giovanni Battista",Dresden,Staatliche Kunstsammlungen Dresden,,,um 1496/1497,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Battista Cima da Conegliano
413,13262,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Hanfstaengl,70013061,,Bild,Maria mit Kind,,,"Ingegno, Andrea di Luigi",Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea di Luigi Ingegno
414,13427,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,07702859,,Bild,Bildnis eines jungen Mannes,,,"Lotto, Lorenzo",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,1526,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
424,13176,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1901,Anderson,70013085,,Bild,Der heilige Jakob,,,"Crivelli, Carlo",Rom,Musei Vaticani,,,1477,,,,,,,,,,,,,,,,,,,,,,,,,Carlo Crivelli
425,13731,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1887,"Braun, Adolphe",70013104,,Bild,Der heilige Sebastian,,,"Reni, Guido",Paris,Musée du Louvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guido Reni
426,13469,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013007,,Bild,Die Anbetung der Hirten,,,"Salviati, Francesco",Florenz,Galleria degli Uffizi,,,1549/1554,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Salviati
428,13184,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Bruckmann,70013213,,Bild,Bildnis des Franziskus Braccius,tridentinisch,,No Data,München,Alte Pinakothek München,,,um 1490,,,,,,,,,,,,,,,,,,,,,,,,,No Data
429,13478,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,"Tamme, Rudolph",07702810,,Bild,Ruhende Venus,,,"Palma, Jacopo (1480)",Dresden,Staatliche Kunstsammlungen Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacopo Palma
431,13690,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1878,Brogi,70013019,,Bild,Madonna mit Kind,,,Guercino,Turin,Galleria Sabauda,,,1651,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
432,13748,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1897,Bruckmann,70013201,,Bild,Landschaft mit Reitern,,,"Rosa, Salvator",München,Alte Pinakothek München,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salvator Rosa
433,13411,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Bruckmann,70013128,,Bild,Musikalische Unterhaltung,,,"Florigerio, Sebastiano",München,Alte Pinakothek München,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastiano Florigerio
436,13266,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,"Mannelli, Anchise",70013116,,Bild,Justitia,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,1469/1470,,,,,,,,,,,,,,,,,,,,,,,,,Antonio del Pollaiuolo
439,13141,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,07703325,,Bild,Madonna,,,"Botticelli, Sandro",Mailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandro Botticelli
441,13225,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1901,"Braun, Adolphe",70013086,,Bild,Madonna della Vittoria,,,"Mantegna, Andrea",Paris,Musée du Louvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Mantegna
442,13399,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",70013050,,Bild,Die Madonna des heiligen Georg,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Correggio
448,13168,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",70013062,,Bild,Die Verkündigung,,,"Cossa, Francesco del",Dresden,Gemäldegalerie Alte Meister Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco del Cossa
452,13322,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,unbekannt,70013214,,Bild,Madonna mit Kind und Engeln,florentinisch,,No Data,,unbekannt,,,1476/1500,,,,,,,,,,,,,,,,,,,,,,,,,No Data
453,13747,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1897,Bruckmann,70013202,,Bild,Küstenlandschaft mit Schloss,,,"Rosa, Salvator",München,Alte Pinakothek München,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salvator Rosa
454,13537,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70013008,,Bild,"Madonna mit Kind, dem Johannesknaben und dem heiligen Joseph",,,"Scarsella, Ippolito",Rom,Galleria Borghese,,,1592/1593,,,,,,,,,,,,,,,,,,,,,,,,,Ippolito Scarsella
455,13403,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,unbekannt,70013129,,Bild,Allegorie der Wollust,,,"Cariani, Giovanni",Rom,Galleria Borghese,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Cariani
456,13286,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013117,,Bild,Prudentia,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,1469/1470,,,,,,,,,,,,,,,,,,,,,,,,,Antonio del Pollaiuolo
459,13636,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,unbekannt,70013105,,Bild,Anna Selbdritt,,,"Saraceni, Carlo",Rom,Galleria Nazionale d'Arte Antica,,,nach 1611,,,,,,,,,,,,,,,,,,,,,,,,,Carlo Saraceni
462,13586,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,unbekannt,70001692,,Altarbild,Anbetung der Hirten,,,"Neroni, Bartolommeo",Siena,San Niccolò al Carmine,Siena,San Niccolò al Carmine,1570-1571,,,,,,,,,,,,,,,,,,,,,,,,,Bartolommeo Neroni
463,13682,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,07701497,,Bild,Der ungläubige Thomas,,,Guercino,Vatikan,"Monumenti, Musei e Gallerie Pontificie",,,nach 1621,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
465,13285,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,70013075,,Retabel,Seitentafeln mit Heiligem Augustinus und Schmerzensmutter,,,"Botticini, Francesco",Florenz,Galleria dell'Accademia,,,1471,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Botticini
470,13348,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013051,,Bild,Die Heilige Familie mit dem Johannesknaben,,,"Beccafumi, Domenico",Florenz,"Galleria Palatina, Palazzo Pitti",,,um 1523,,,,,,,,,,,,,,,,,,,,,,,,,Domenico Beccafumi
471,13169,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013063,,Bild,"Atlante, im Wettlauf von Hippomenes besiegt",,,"Roberti, Ercole de'",Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ercole de' Roberti
472,13773,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,"Dubray, Luigi",70013203,,Bild,Veduta des Castel Nuovo in Neapel,,,"Joli, Antonio",,unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Joli
473,13402,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1901,Anderson,70013009,,Bild,Allegorie der Tugend,,unvollendet,Correggio,Rom,Galleria Doria Pamphilj,,,1525/1530,,,,,,,,,,,,,,,,,,,,,,,,,Correggio
476,13288,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013118,,Bild,Caritas,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,1469/1470,,,,,,,,,,,,,,,,,,,,,,,,,Antonio del Pollaiuolo
478,13503,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1897,Bruckmann,70013106,,Bild,Heilige Familie,,,"Procaccini, Giulio Cesare",München,Alte Pinakothek München,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giulio Cesare Procaccini
481,13422,1912,"Buerkel, Ludwig von",Mal. Ren.,1900,"Tamme, Rudolph",07701001,,Bild,Schlafende Venus,,,Giorgione,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1510,,,,,,,,,,,,,,,,,,,,,,,,,Giorgione
487,13129,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,Bruckmann,07700384,,Bild,"Maria mit dem Kind, Johannes der Täufer und heilige Elisabeth",,,"Bellini, Giovanni (1430)",Frankfurt (Main),Städelsches Kunstinstitut und Städtische Galerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Bellini
490,13547,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07703129,,Bild,Venus und Adonis,,,Tizian,Washington,National Gallery of Art,,,um 1560/1565,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
504,13159,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",70013064,,Bild,Maria mit dem Kind zwischen zwei Engeln,,,"Caroto, Giovanni Francesco",Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1508,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Francesco Caroto
505,13667,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,70013076,,Bild,Sterbende Kleopatra,,,Guercino,Genua,Galleria di Palazzo Rosso,,,1648,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
507,13428,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013088,,Bild,Männliches Bildnis,norditalienisch,,No Data,London,National Gallery,,,1520/1530,,,,,,,,,,,,,,,,,,,,,,,,,No Data
509,13418,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1895,Hanfstaengl,70013040,,Bild,Die Anbetung der Könige,,,Garofalo,Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,,,,,,,,,,,,,,,,,,,,,,,,,,Garofalo
510,13653,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013197,,Bild,Der heilige Johannes der Täufer,,,"Reni, Guido",Windsor,Royal Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guido Reni
511,13347,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Bruckmann,70013052,,Bild,Die Heilige Familie mit dem Johannesknaben,,,"Beccafumi, Domenico",München,Alte Pinakothek München,,,um 1515,,,,,,,,,,,,,,,,,,,,,,,,,Domenico Beccafumi
514,13677,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013002,,Bild,Ecce Homo,,,Guercino,München,Bayerische Staatsgemäldesammlung,Oberschleißheim,Schloss Schleißheim,1647,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
515,13426,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,07700612,,Retabel,Heilige Christophorus und Sebastian,,Fragment,"Lotto, Lorenzo",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,Castelplanio,San Sebastiano,1531,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
519,13641,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,unbekannt,70013014,,Bild,Bildnis eines jungen Mannes,,beschädigt,"Ghislandi, Vittore (Fra)",Belluno,Museo Civico di Belluno,,,1732/1743,,,,,,,,,,,,,,,,,,,,,,,,,Fra Vittore Ghislandi
521,13687,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013026,,Bild,Martyrium der heiligen Katharina,,,Guercino,Sankt Petersburg,Staatliche Ermitage,,,1653-1654,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
522,17594,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Anderson,70013038,,Wandbild,Der Bau der Kirche in Grottaferrata,,,Domenichino,Grottaferrata,Abbazia di Grottaferrata,Grottaferrata,Abbazia di Grottaferrata,1608-1610,,,,,,,,,,,,,,,,,,,,,,,,,Domenichino
530,13461,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1907,Hanfstaengl,70005381,,Bild,Ein Edelmann und ein Poet in der Pose der Melancholia,,,"Moretto, Alessandro",London,National Gallery,,,um 1520/1545,,70005382,Bild,"['Porträt eines jungen Mannes in der Pose der Melancholia', 'Fortunato Martinengo Cesaresco']",,,,London,National Gallery,,,,,,,,,,,,,,,,Alessandro Moretto
531,13659,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012983,,Bild,Ekstase des heiligen Franziskus,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1620,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
532,13170,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07701932,,Pendants?,Maria von Ägypten,,,Lorenzo di Credi,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,,,"07701932,T,001",Bild,Maria von Ägypten,,,,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,,,,,,,,,,,,,,Lorenzo di Credi
534,13463,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Bruckmann,70013081,,Bild,Thronende Madonna mit Kind und den heiligen Antonius Abbas und Sebastian,,,"Moretto, Alessandro",Frankfurt,Städel Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Moretto
535,13406,1912,"Buerkel, Ludwig von",Mal. Ren.,1895,Hanfstaengl,07704896,,Bild,Der büßende heilige Hieronymus,,,Maestro dei dodici Apostoli,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maestro dei Dodici Apostoli
537,13660,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70013001,,Bild,Der Evangelist Johannes,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1615,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
539,13394,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07702827,,Bild,Der Knabe mit dem Pfeil,,,Giorgione,Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giorgione
541,13763,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Anderson,07604168,,Bild,Vision des heiligen Romuald,,,"Sacchi, Andrea",Rom,"Monumenti, Musei e Gallerie Pontificie",Rom,San Romualdo,1631,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Sacchi
543,13391,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,unbekannt,70013093,,Bild,Maria Magdalena,,,"Galli, Giovanni Antonio",Montepulciano,Museo Civico,,,1630/1650,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Antonio Galli
544,13364,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Brogi,70013122,,Bild,Pietà,,,"Cambiaso, Luca",Genua,Chiesa di Nostra Signora Assunta di Carignano,,,1571,,,,,,,,,,,,,,,,,,,,,,,,,Luca Cambiaso
545,17593,1924,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Anderson,70013110,,Deckenbild,Die Verklärung der heiligen Cäcilia,,,"Conca, Sebastiano",Rom,Santa Cecilia in Trastevere,Rom,Santa Cecilia in Trastevere,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,Sebastiano Conca
550,13565,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,"Tamme, Rudolph",07703022,,Bild,Bildnis einer Dame in Weiß,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
560,13488,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013039,,Bild,Bildnis eines Würdenträgers,,,Parmigianino,Wien,Kunsthistorisches Museum Wien,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parmigianino
562,13628,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Reali,70013112,,Bild,Circe,,,"Furini, Francesco",Lucca,Museo Nazionale di Palazzo Mansi,,,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Furini
565,13658,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70013003,,Bild,Der Evangelist Matthäus,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1615,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
566,13666,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,70013015,,Bild,"['Tempelreinigung', 'Vertreibung der Geldwechsler aus dem Tempel']",,,Guercino,Genua,Galleria di Palazzo Rosso,,,1634,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
567,13683,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Hanfstaengl,70013027,,Bild,Susanna im Bade,,,Guercino,Madrid,Museo del Prado,,,1617,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
570,13500,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,07703777,,Zyklus,Malerische Ausstattung,,,"Pontormo, Jacopo",Florenz,Santa Felicità,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,Jacopo Pontormo
610,13655,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012996,,Bild,Der Tod des Adonis,,zerstört,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
611,13257,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70013070,,Bild,Marienkrönung,,,"Pintoricchio, Bernardino",Rom,Musei Vaticani,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernardino Pintoricchio
615,13662,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Brogi,07503032,,Bild,Maria Magdalena in Betrachtung der Dornenkrone,,,Guercino,Neapel,Museo e Gallerie Nazionali di Capodimonte,Parma,Palazzo del Giardino,,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
616,13680,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,07503032,,Bild,Maria Magdalena in Betrachtung der Dornenkrone,,,Guercino,Neapel,Museo e Gallerie Nazionali di Capodimonte,Parma,Palazzo del Giardino,,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
617,13770,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1907,Brogi,70008508,,Bild,Bildnis des Pietro Leopoldo I,,,"Lucci, Filippo",Florenz,Galleria degli Uffizi,,,1780,,,,,,,,,,,,,,,,,,,,,,,,,Filippo Lucci
619,13388,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,Bruckmann,07701890,,Bild,Der heilige Hieronymus im Studierzimmer,,,"Catena, Vincenzo",Frankfurt (Main),Städelsches Kunstinstitut und Städtische Galerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincenzo Catena
621,13321,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,"Verri, Candido",70013343,,Bild,"Prozessionstafel, Rückseite: Auferstandener Christus",,,"Mattioli, Battista di Baldassare",Perugia,Museo Capitolare,Perugia,San Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,Mattioli Battista di Baldassarre
627,13199,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,70013082,,Retabel,Szenen aus dem Leben Christi,,,"Roberti, Ercole de'",London,National Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ercole de' Roberti
628,13624,1912,"Buerkel, Ludwig von",Mal. Franz.,vor 1912,unbekannt,70013111,,Bild,Felsenlandschaft mit Figuren und Wasserfall,,,"Dughet, Gaspard",Rom,Galleria Colonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaspard Dughet
629,13359,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,Anderson,70013094,,Bild,Männliches Bildnis,,,"Bronzino, Agnolo",Florenz,Galleria degli Uffizi,,,1530/1532,,,,,,,,,,,,,,,,,,,,,,,,,Agnolo Bronzino
